Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1995-11-29,1.5332390069961548,1.5332390069961548,1.5332390069961548,1.5332390069961548,80,0.0,0.0
1995-11-30,1.530321084061401,1.5332390069961548,1.530321084061401,1.5332390069961548,147,0.0,0.0
1995-12-01,1.5303213042185406,1.5303213042185406,1.4704483967525754,1.473371982574463,24,0.0,0.0
1995-12-05,1.4427057286427676,1.4616888761520386,1.441246699912234,1.4616888761520386,31,0.0,0.0
1995-12-06,1.4602295980764233,1.5098729680045155,1.4573061482898273,1.4981958866119385,14,0.0,0.0
1995-12-07,1.4908902645111084,1.5040377032020522,1.4879724763268818,1.4908902645111084,7,0.0,0.0
1995-12-08,1.4908902645111084,1.4908902645111084,1.4908902645111084,1.4908902645111084,0,0.0,0.0
1995-12-12,1.5011143151128747,1.5303213220527618,1.495272940689028,1.527397871017456,14,0.0,0.0
1995-12-13,1.5171800609531845,1.5332396315172279,1.5098739931176257,1.5259392261505127,14,0.0,0.0
1995-12-14,1.5244794408690456,1.5653635205987264,1.5244794408690456,1.5478394031524658,250,0.0,0.0
1995-12-15,1.547839632937021,1.565363752984825,1.547839632937021,1.560981273651123,2235250,0.0,0.0
1995-12-18,1.5551457145033627,1.5755877593974514,1.5522222637206144,1.562446117401123,2011000,0.0,0.0
1995-12-19,1.5566049420905703,1.5945711135864258,1.5507634326053963,1.5945711135864258,3674750,0.0,0.0
1995-12-20,1.6062537872232165,1.6471380151218855,1.6062537872232165,1.6296137571334839,15605750,0.0,0.0
1995-12-21,1.6150132428941262,1.6179311665506895,1.591647743052529,1.6033304929733276,3241250,0.0,0.0
1995-12-22,1.615012895651593,1.6223132982809534,1.6091715219471425,1.61939537525177,1871500,0.0,0.0
1995-12-25,1.61939537525177,1.61939537525177,1.61939537525177,1.61939537525177,0,0.0,0.0
1995-12-26,1.61939537525177,1.61939537525177,1.61939537525177,1.61939537525177,0,0.0,0.0
1995-12-27,1.609171640141709,1.616471908486642,1.6047891602196365,1.6135541200637817,936250,0.0,0.0
1995-12-28,1.6018710046524256,1.6120891938988844,1.5960294970371338,1.6091712713241577,1369250,0.0,0.0
1995-12-29,1.5945708408657415,1.6208542585372925,1.5931119467712058,1.6208542585372925,851250,0.0,0.0
1996-01-01,1.6208542585372925,1.6208542585372925,1.6208542585372925,1.6208542585372925,0,0.0,0.0
1996-01-02,1.6120894449763257,1.6296135660896773,1.5960297456133317,1.61939537525177,1267750,0.0,0.0
1996-01-03,1.620854232963934,1.6398373825759773,1.6150128593906363,1.6281546354293823,2871250,0.0,0.0
1996-01-04,1.6208543889348423,1.6354550604500935,1.616471909011347,1.6252368688583374,1768750,0.0,0.0
1996-01-05,1.6135535477012122,1.6252362918240941,1.5974883252108183,1.6062531471252441,2425000,0.0,0.0
1996-01-08,1.6062536915667687,1.6339961399388498,1.6062536915667687,1.6325372457504272,1813000,0.0,0.0
1996-01-09,1.6383787019820422,1.6734214203418658,1.6383787019820422,1.6588207483291626,5524750,0.0,0.0
1996-01-10,1.6412958838334444,1.6515197344616306,1.6325367242134554,1.6427549123764038,1764750,0.0,0.0
1996-01-11,1.6339963780746305,1.6558973207764915,1.6208545990675414,1.6383788585662842,2324000,0.0,0.0
1996-01-12,1.6354551534090833,1.6471380371645803,1.6310726732364886,1.6442201137542725,1385750,0.0,0.0
1996-01-15,1.6412966663922866,1.6427556956309008,1.6004125693167641,1.6033304929733276,1552750,0.0,0.0
1996-01-16,1.615013058746412,1.6369141340255737,1.6091716844520605,1.6369141340255737,2106250,0.0,0.0
1996-01-17,1.6558969736289653,1.6558969736289653,1.6266956329345703,1.6266956329345703,2627750,0.0,0.0
1996-01-18,1.6807209694335445,1.6924038479216752,1.670502781867981,1.670502781867981,499750,0.0,0.0
1996-01-19,1.6807217433021928,1.724529423224628,1.6807217433021928,1.721611499786377,4726750,0.0,0.0
1996-01-22,1.7055459107555289,1.723070165449684,1.6865627620603163,1.6924042701721191,3100750,0.0,0.0
1996-01-23,1.6880215321512961,1.707004677936876,1.676338652539005,1.695321798324585,2841500,0.0,0.0
1996-01-24,1.701163161178944,1.717228519319524,1.6982453736404168,1.712846040725708,2559500,0.0,0.0
1996-01-25,1.699704291388132,1.7128460648895563,1.6953218127324905,1.7055456638336182,1411750,0.0,0.0
1996-01-26,1.6851041313115207,1.690945505515255,1.6631975287255554,1.6734213829040527,1977750,0.0,0.0
1996-01-29,1.6938626951031575,1.7143047321385514,1.6821799517560287,1.7099279165267944,1150500,0.0,0.0
1996-01-30,1.7113878066348673,1.731829855573307,1.7113878066348673,1.727447509765625,2212750,0.0,0.0
1996-01-31,1.7376708031027428,1.743512176287181,1.7055458795905047,1.7245290279388428,2167750,0.0,0.0
1996-02-01,1.7405936289998238,1.758112214621949,1.739129073084685,1.7508118152618408,3390500,0.0,0.0
1996-02-02,1.7405945509271823,1.766877970925316,1.739129994236323,1.758113145828247,1734500,0.0,0.0
1996-02-05,1.743512500165739,1.7551952487048272,1.7362120968301389,1.7391300201416016,1301750,0.0,0.0
1996-02-06,1.7318290162926027,1.7683364131375974,1.7303701225530688,1.7624950408935547,2526000,0.0,0.0
1996-02-07,1.7683364131375974,1.7785602638861489,1.7537357463498418,1.7624950408935547,1724000,0.0,0.0
1996-02-08,1.7551946361540005,1.7814780473709106,1.7551946361540005,1.7814780473709106,2096500,0.0,0.0
1996-02-09,1.7887791397026362,1.7960794084921363,1.7697959871140276,1.7770963907241821,2036750,0.0,0.0
1996-02-12,1.7376711257681383,1.758113171886727,1.7332886457443237,1.7332886457443237,2035250,0.0,0.0
1996-02-13,1.7464358902332942,1.8019206523895264,1.744971333571682,1.8019206523895264,2470250,0.0,0.0
1996-02-14,1.7493539504475264,1.7493539504475264,1.7143055684867035,1.721611499786377,4753500,0.0,0.0
1996-02-15,1.6953219296876545,1.7201464497926202,1.6880216629487,1.6997044086456299,4012750,0.0,0.0
1996-02-16,1.6997054200590536,1.7289124365016937,1.6661215845198927,1.671963095664978,3324250,0.0,0.0
1996-02-19,1.6588201351798622,1.6588201351798622,1.6339956179358137,1.6427549123764038,1960000,0.0,0.0
1996-02-21,1.6500555894051214,1.7026282217228739,1.6442198782410498,1.7011635303497314,2687500,0.0,0.0
1996-02-23,1.72891149518652,1.742053270259492,1.7055458677898103,1.7201465368270874,2070000,0.0,0.0
1996-02-26,1.7289120253145311,1.7289120253145311,1.6865632367156216,1.6982461214065552,1269750,0.0,0.0
1996-02-27,1.6938625381534762,1.7084688646266664,1.6792618741445127,1.7070043087005615,975500,0.0,0.0
1996-02-28,1.7230705831210793,1.7376712560653687,1.715770179238605,1.7376712560653687,1207000,0.0,0.0
1996-02-29,1.7318296432108404,1.7464359777513592,1.6997048480618568,1.7259882688522339,1065500,0.0,0.0
1996-03-01,1.7303703891508253,1.7303703891508253,1.6953220154660724,1.7201465368270874,800750,0.0,0.0
1996-03-04,1.70846991017679,1.7391301504200614,1.7011638438266234,1.7376712560653687,1213000,0.0,0.0
1996-03-05,1.7551951299774236,1.7668778777262508,1.7478948619562877,1.7566540241241455,2423750,0.0,0.0
1996-03-06,1.7566544334820064,1.7566544334820064,1.733288932539427,1.7347534894943237,1751500,0.0,0.0
1996-03-07,1.7245294662300605,1.7551953687410506,1.7245294662300605,1.744971513748169,2246000,0.0,0.0
1996-03-08,1.7449709603618284,1.7493534392958547,1.7011632932397578,1.7230700254440308,2022000,0.0,0.0
1996-03-11,1.7070045136839402,1.7070045136839402,1.6573611445633762,1.670502781867981,3396000,0.0,0.0
1996-03-12,1.6924042089033648,1.6924042089033648,1.654437912887403,1.6646617650985718,2227500,0.0,0.0
1996-03-13,1.6763385638433832,1.698245293310821,1.6705028542217617,1.6748796701431274,1123750,0.0,0.0
1996-03-14,1.6690386421867878,1.695322058174234,1.6646618253629886,1.6924042701721191,1365500,0.0,0.0
1996-03-15,1.7113874059883647,1.7376709586692223,1.6938632848661883,1.7040871381759644,10340500,0.0,0.0
1996-03-18,1.7274472375301153,1.7274472375301153,1.702628374342681,1.7084697484970093,500,0.0,0.0
