Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-01-03,3.094452343640053,3.1676875943838283,3.0016188621520996,3.0016188621520996,6726830,0.0,0.0
2000-01-04,3.0934210255416885,3.124365638541929,3.045972713683987,3.0996100902557373,4925665,0.0,0.0
2000-01-05,3.0428788963925055,3.216168110170029,2.976863737872232,3.207916259765625,11267847,0.0,0.0
2000-01-06,3.269804980537061,3.2955919201874226,3.1924430957310155,3.2388603687286377,4755191,0.0,0.0
2000-01-07,3.259490339099384,3.3213792140311,3.213073416436828,3.2904345989227295,8835353,0.0,0.0
2000-01-10,3.2801192966747994,3.311063908838663,3.18728617075319,3.1924431324005127,7036354,0.0,0.0
2000-01-11,3.2130731534808707,3.2233877874828343,3.1047670094652835,3.146026611328125,4297225,0.0,0.0
2000-01-12,3.0892953762913566,3.140869617462158,3.068665750880043,3.140869617462158,3836008,0.0,0.0
2000-01-13,3.0892947187596946,3.1821281909942623,3.0841370470408607,3.1821281909942627,3841787,0.0,0.0
2000-01-14,3.1460271377720628,3.182129073390084,3.0841379022639948,3.135712146759033,5516181,0.0,0.0
2000-01-17,3.1150821180884414,3.1563417215319043,3.0531928905657524,3.0583505630493164,6371798,0.0,0.0
2000-01-18,3.07382289831987,3.099610195120832,3.018122735149006,3.0274059772491455,5749859,0.0,0.0
2000-01-19,3.0325639064110517,3.0325639064110517,2.9933674393389964,3.011934280395508,3577409,0.0,0.0
2000-01-20,3.012965593949025,3.035658004329164,2.9706745952612095,3.0005874633789062,5883493,0.0,0.0
2000-01-21,2.9768635357417272,3.020185925065757,2.955202341079712,2.955202341079712,5141284,0.0,0.0
2000-01-24,2.996461444278078,3.0222487417767745,2.9448873822082193,2.968611717224121,3871042,0.0,0.0
2000-01-25,2.9686115299372666,2.9706743146474106,2.888155465256649,2.932509422302246,5436723,0.0,0.0
2000-01-26,2.919100113828093,2.944887232372228,2.846896430604017,2.867526054382324,6263085,0.0,0.0
2000-01-27,2.9706739574988834,3.0377204923629115,2.953138690788332,2.9933667182922363,10265233,0.0,0.0
2000-01-28,3.0738230081323685,3.0758857929905314,2.965517032740615,2.9902727603912354,6077081,0.0,0.0
2000-01-31,2.963454405741013,3.0274062466685723,2.961391265487924,2.9964616298675537,3094522,0.0,0.0
2000-02-01,3.3059069064769147,3.3059069064769147,2.9840836909769166,3.2904345989227295,10761122,0.0,0.0
2000-02-02,3.2904340813038626,3.568934862898131,3.1253967521629846,3.388424873352051,44488818,0.0,0.0
2000-02-03,3.4038981394960763,3.537990882258887,3.2904346668513553,3.3007493019104004,15838841,0.0,0.0
2000-02-04,3.300749412219394,3.300749412219394,3.1460270388827354,3.156342029571533,10052503,0.0,0.0
2000-02-07,3.1924436087697154,3.2904347768156406,3.115082422101386,3.156342029571533,7646735,0.0,0.0
2000-02-08,3.1976009195180555,3.3420086410918057,3.1511843548893523,3.2440178394317627,8788039,0.0,0.0
2000-02-09,3.264647463187298,3.316221700218638,3.18728628528279,3.2440178394317627,6571526,0.0,0.0
2000-02-10,3.238860839861941,3.274962418509884,3.202758550643921,3.202758550643921,3476281,0.0,0.0
2000-02-11,3.207915836479889,3.2594900723446942,3.1047670094652835,3.146026611328125,5755638,0.0,0.0
2000-02-14,3.104767164435923,3.311064118192202,3.078980222858895,3.2749621868133545,10219725,0.0,0.0
2000-02-15,3.311063947052572,3.352323548842242,3.1202396655047018,3.197600841522217,10085731,0.0,0.0
2000-02-16,3.2646477301412093,3.3574812222747186,3.249175422238119,3.3368515968322754,9173410,0.0,0.0
2000-02-17,3.342008542887327,3.465786992353333,3.321378919737991,3.352323532104492,12058091,0.0,0.0
2000-02-18,3.41421261869529,3.4606295401971434,3.3574810626052587,3.41936993598938,12494748,0.0,0.0
2000-02-21,3.352324067570121,3.3781113670895335,3.197601336308796,3.218230962753296,5926111,0.0,0.0
2000-02-22,3.2491753089777946,3.2852772410648803,3.0944525906252753,3.125397205352783,10571507,0.0,0.0
2000-02-23,3.13055453255677,3.1872860831071517,3.094452249168365,3.109924554824829,7265338,0.0,0.0
