Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2002-12-31,23356.19921875,23356.19921875,23356.19921875,23356.19921875,0,0.0,0.0
2003-01-02,24221.80078125,24221.80078125,24221.80078125,24221.80078125,0,0.0,0.0
2003-01-03,24316.099609375,24316.099609375,24316.099609375,24316.099609375,0,0.0,0.0
2003-01-06,24556.80078125,24556.80078125,24556.80078125,24556.80078125,0,0.0,0.0
2003-01-07,24265.5,24265.5,24265.5,24265.5,0,0.0,0.0
2003-01-08,23985.400390625,23985.400390625,23985.400390625,23985.400390625,0,0.0,0.0
2003-01-09,24295.599609375,24295.599609375,24295.599609375,24295.599609375,0,0.0,0.0
2003-01-10,24206.400390625,24206.400390625,24206.400390625,24206.400390625,0,0.0,0.0
2003-01-13,24258.599609375,24258.599609375,24258.599609375,24258.599609375,0,0.0,0.0
2003-01-14,24309.099609375,24309.099609375,24309.099609375,24309.099609375,0,0.0,0.0
2003-01-15,24074.900390625,24074.900390625,24074.900390625,24074.900390625,0,0.0,0.0
2003-01-16,24122.69921875,24122.69921875,24122.69921875,24122.69921875,0,0.0,0.0
2003-01-17,23355.599609375,23355.599609375,23355.599609375,23355.599609375,0,0.0,0.0
2003-01-20,23057.099609375,23057.099609375,23057.099609375,23057.099609375,0,0.0,0.0
2003-01-21,22733.19921875,22733.19921875,22733.19921875,22733.19921875,0,0.0,0.0
2003-01-22,22388.80078125,22388.80078125,22388.80078125,22388.80078125,0,0.0,0.0
2003-01-23,22330.30078125,22330.30078125,22330.30078125,22330.30078125,0,0.0,0.0
2003-01-24,22097.80078125,22097.80078125,22097.80078125,22097.80078125,0,0.0,0.0
2003-01-27,21691.599609375,21691.599609375,21691.599609375,21691.599609375,0,0.0,0.0
2003-01-28,21671.400390625,21671.400390625,21671.400390625,21671.400390625,0,0.0,0.0
2003-01-29,21886.900390625,21886.900390625,21886.900390625,21886.900390625,0,0.0,0.0
2003-01-30,22282.5,22282.5,22282.5,22282.5,0,0.0,0.0
2003-01-31,22372.0,22372.0,22372.0,22372.0,0,0.0,0.0
2003-02-03,22585.900390625,22585.900390625,22585.900390625,22585.900390625,0,0.0,0.0
